column_name,column_type,null,key,default,extra
out.site_energy.net.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.site_energy.total.energy_consumption_intensity..kwh_per_ft2,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.aer_highrecost_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.aer_highrecostlowngprice_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.aer_lowrecost_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.aer_lowrecosthighngprice_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.aer_midcase_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_highrecost_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_highrecost_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_highrecostlowngprice_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_highrecostlowngprice_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_lowrecost_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_lowrecost_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_lowrecosthighngprice_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_lowrecosthighngprice_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_midcase_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.electricity.total.lrmer_midcase_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.natural_gas.total..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.propane.total..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.fuel_oil.total..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.aer_highrecost_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.aer_highrecostlowngprice_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.aer_lowrecost_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.aer_lowrecosthighngprice_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.aer_midcase_avg..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_highrecost_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_highrecost_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_highrecostlowngprice_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_highrecostlowngprice_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_lowrecost_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_lowrecost_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_lowrecosthighngprice_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_lowrecosthighngprice_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_midcase_15..co2e_kg,FLOAT,YES,NA,NA,NA
out.emissions.total.lrmer_midcase_25..co2e_kg,FLOAT,YES,NA,NA,NA
out.unmet_hours.cooling..hour,FLOAT,YES,NA,NA,NA
out.unmet_hours.ev_driving..hour,FLOAT,YES,NA,NA,NA
out.unmet_hours.heating..hour,FLOAT,YES,NA,NA,NA
out.hot_water.clothes_washer..gal,FLOAT,YES,NA,NA,NA
out.hot_water.dishwasher..gal,FLOAT,YES,NA,NA,NA
out.hot_water.distribution_waste..gal,FLOAT,YES,NA,NA,NA
out.hot_water.fixtures..gal,FLOAT,YES,NA,NA,NA
out.load.cooling.energy_delivered..kbtu,FLOAT,YES,NA,NA,NA
out.load.heating.energy_delivered..kbtu,FLOAT,YES,NA,NA,NA
out.load.heating_heat_pump_backup..kbtu,FLOAT,YES,NA,NA,NA
out.load.hot_water.energy_delivered..kbtu,FLOAT,YES,NA,NA,NA
out.load.hot_water_solar_thermal..kbtu,FLOAT,YES,NA,NA,NA
out.load.hot_water_tank_losses..kbtu,FLOAT,YES,NA,NA,NA
out.indoor_airflow.infiltration..cfm,FLOAT,YES,NA,NA,NA
out.indoor_airflow.mechanical_ventilation..cfm,FLOAT,YES,NA,NA,NA
out.indoor_airflow.natural_ventilation..cfm,FLOAT,YES,NA,NA,NA
out.indoor_dewpoint_temperature.conditioned_space..c,FLOAT,YES,NA,NA,NA
out.indoor_humidity_ratio.conditioned_space..kgwater_per_kgdryair,FLOAT,YES,NA,NA,NA
out.indoor_operative_temperature.conditioned_space..c,FLOAT,YES,NA,NA,NA
out.indoor_radiant_temperature.conditioned_space..c,FLOAT,YES,NA,NA,NA
out.indoor_relative_humidity.conditioned_space..percentage,FLOAT,YES,NA,NA,NA
out.indoor_temperature.conditioned_space..c,FLOAT,YES,NA,NA,NA
out.outdoor_air_drybulb_temp..c,FLOAT,YES,NA,NA,NA
out.outdoor_air_relative_humidity..percentage,FLOAT,YES,NA,NA,NA
out.outdoor_air_wetbulb_temp..c,FLOAT,YES,NA,NA,NA
out.outdoor_humidity_ratio..kgwater_per_kgdryair,FLOAT,YES,NA,NA,NA
out.people.sensible_heating_rate..watt,FLOAT,YES,NA,NA,NA
out.people.total_heating_rate..watt,FLOAT,YES,NA,NA,NA
out.weather.diffuse_solar_radiation..watt_per_m2,FLOAT,YES,NA,NA,NA
out.weather.direct_normal_solar_radiation..watt_per_m2,FLOAT,YES,NA,NA,NA
out.weather.wind_speed..meter_per_second,FLOAT,YES,NA,NA,NA
out.schedules.ceiling_fan,FLOAT,YES,NA,NA,NA
out.schedules.clothes_dryer,FLOAT,YES,NA,NA,NA
out.schedules.clothes_washer,FLOAT,YES,NA,NA,NA
out.schedules.cooking_range,FLOAT,YES,NA,NA,NA
out.schedules.dishwasher,FLOAT,YES,NA,NA,NA
out.schedules.electric_vehicle_charging,FLOAT,YES,NA,NA,NA
out.schedules.electric_vehicle_discharging,FLOAT,YES,NA,NA,NA
out.schedules.hot_water_clothes_washer,FLOAT,YES,NA,NA,NA
out.schedules.hot_water_dishwasher,FLOAT,YES,NA,NA,NA
out.schedules.hot_water_fixtures,FLOAT,YES,NA,NA,NA
out.schedules.lighting_garage,FLOAT,YES,NA,NA,NA
out.schedules.lighting_interior,FLOAT,YES,NA,NA,NA
out.schedules.no_space_cooling,FLOAT,YES,NA,NA,NA
out.schedules.no_space_heating,FLOAT,YES,NA,NA,NA
out.schedules.occupants,FLOAT,YES,NA,NA,NA
out.schedules.plug_loads_other,FLOAT,YES,NA,NA,NA
out.schedules.plug_loads_tv,FLOAT,YES,NA,NA,NA
out.schedules.power_outage,FLOAT,YES,NA,NA,NA
out.schedules.vacancy,FLOAT,YES,NA,NA,NA
state,VARCHAR,YES,NA,NA,NA
upgrade,BIGINT,YES,NA,NA,NA
